Year,sum,SSP585,sum.1,SSP370,sum.2,SSP245,sum.3,SSP126
1919,20.10061037,-0.152257243,20.10061037,-0.152257243,18.45836105,0.472575835,18.45836105,0.472575835
1920,19.6087275,-0.644140112,19.6087275,-0.644140112,17.69834521,-0.28744,17.69834521,-0.28744
1921,19.41151854,-0.841349075,19.41151854,-0.841349075,17.61271363,-0.373071588,17.61271363,-0.373071588
1922,20.16953795,-0.083329666,20.16953795,-0.083329666,18.37098536,0.385200141,18.37098536,0.385200141
1923,20.59889781,0.346030199,20.59889781,0.346030199,18.92936099,0.943575771,18.92936099,0.943575771
1924,20.23370183,-0.019165789,20.23370183,-0.019165789,18.39282,0.407034784,18.39282,0.407034784
1925,20.48714307,0.234275458,20.48714307,0.234275458,18.55590813,0.570122917,18.55590813,0.570122917
1926,20.27963439,0.026766774,20.27963439,0.026766774,17.84249996,-0.143285255,17.84249996,-0.143285255
1927,20.57658687,0.323719259,20.57658687,0.323719259,18.41398159,0.428196371,18.41398159,0.428196371
1928,21.09174213,0.838874519,21.09174213,0.838874519,19.06948639,1.083701171,19.06948639,1.083701171
1929,21.04826339,0.795395771,21.04826339,0.795395771,19.26720136,1.281416149,19.26720136,1.281416149
1930,20.52807456,0.275206947,20.52807456,0.275206947,18.56869345,0.582908238,18.56869345,0.582908238
1931,20.41137016,0.158502549,20.41137016,0.158502549,18.33097229,0.345187072,18.33097229,0.345187072
1932,20.77966946,0.52680184,20.77966946,0.52680184,18.9315683,0.94578308,18.9315683,0.94578308
1933,20.32358112,0.070713504,20.32358112,0.070713504,18.50968534,0.523900125,18.50968534,0.523900125
1934,20.50703134,0.254163728,20.50703134,0.254163728,18.54320991,0.557424695,18.54320991,0.557424695
1935,19.92985671,-0.323010901,19.92985671,-0.323010901,18.03646196,0.050676743,18.03646196,0.050676743
1936,20.06637709,-0.186490527,20.06637709,-0.186490527,18.24965806,0.263872844,18.24965806,0.263872844
1937,20.82740314,0.574535525,20.82740314,0.574535525,18.77555467,0.789769459,18.77555467,0.789769459
1938,20.7523312,0.499463583,20.7523312,0.499463583,19.14867421,1.162888995,19.14867421,1.162888995
1939,21.11541263,0.862545016,21.11541263,0.862545016,18.9627962,0.977010982,18.9627962,0.977010982
1940,21.4229385,1.170070888,21.4229385,1.170070888,19.44082216,1.455036941,19.44082216,1.455036941
1941,20.764931,0.512063382,20.764931,0.512063382,19.08852957,1.102744358,19.08852957,1.102744358
1942,20.42828432,0.175416705,20.42828432,0.175416705,18.32470631,0.338921096,18.32470631,0.338921096
1943,20.72465973,0.471792113,20.72465973,0.471792113,18.54855173,0.562766517,18.54855173,0.562766517
1944,20.41781026,0.164942647,20.41781026,0.164942647,18.26570464,0.279919426,18.26570464,0.279919426
1945,21.47096616,1.218098549,21.47096616,1.218098549,19.55132176,1.565536543,19.55132176,1.565536543
1946,21.67293797,1.42007035,21.67293797,1.42007035,20.18736594,2.201580725,20.18736594,2.201580725
1947,21.43879363,1.185926011,21.43879363,1.185926011,19.54963015,1.563844939,19.54963015,1.563844939
1948,21.21272568,0.959858065,21.21272568,0.959858065,19.76627851,1.780493295,19.76627851,1.780493295
1949,21.10838494,0.855517324,21.10838494,0.855517324,19.15812867,1.172343457,19.15812867,1.172343457
1950,20.88700525,0.634137637,20.88700525,0.634137637,19.12126739,1.135482171,19.12126739,1.135482171
1951,21.01393214,0.761064529,21.01393214,0.761064529,18.77022781,0.784442596,18.77022781,0.784442596
1952,21.2421374,0.989269785,21.2421374,0.989269785,19.20554398,1.219758764,19.20554398,1.219758764
1953,21.73457039,1.48170277,21.73457039,1.48170277,19.59805793,1.61227271,19.59805793,1.61227271
1954,21.36738874,1.11452112,21.36738874,1.11452112,19.15798084,1.172195622,19.15798084,1.172195622
1955,21.43265634,1.179788721,21.43265634,1.179788721,19.20223535,1.216450138,19.20223535,1.216450138
