,barren,taiga,tundra,wetlands,total
lyr144,2.750050387,1.457475611,2.984293723,3.335075084,1.606393684
lyr145,2.921379168,1.415019867,3.006021287,3.699633835,1.579202317
lyr146,2.7480987,1.429049701,3.020561237,4.025396115,1.596871789
lyr147,2.78948746,1.560859202,3.075678294,4.055054661,1.74131733
lyr148,2.542860844,1.534896446,3.062717051,3.982857924,1.719655083
lyr149,2.701866691,1.537181527,3.010969423,3.837813137,1.73357716
lyr150,2.801007362,1.535591804,2.930455423,4.085615402,1.730017611
lyr151,2.655782257,1.617917063,3.014575134,4.51155455,1.817995876
lyr152,2.658429026,1.607262544,3.104668209,4.107324201,1.827844855
lyr153,2.786631094,1.66594211,3.147537999,4.285862256,1.882317309
lyr154,2.877475532,1.646841994,3.185527739,4.231350445,1.874873435
lyr155,2.957282139,1.708725694,3.219261785,4.317261428,1.944534457
lyr156,2.909757633,1.718064955,3.210219794,4.336876541,1.956803588
lyr157,2.757208395,1.813714151,3.21320499,4.542808889,2.063666863
lyr158,2.82063113,1.849663241,3.155297319,4.450391674,2.101595842
lyr159,2.899751683,1.887350256,3.202448632,4.413831475,2.140369281
lyr160,2.698467269,1.887063309,3.192300862,4.342757877,2.158248018
lyr161,2.75248877,1.923038072,3.256421574,4.368293736,2.191335454
lyr162,2.82057412,1.937867518,3.254068149,4.488838015,2.215093941
lyr163,2.945864354,1.921178211,3.37007421,4.346830445,2.216059156
lyr164,3.052922687,1.922222463,3.319553265,4.50956768,2.224646811
lyr165,3.039691207,2.025942461,3.330139703,4.481404367,2.330386086
lyr166,2.904476262,1.964270132,3.295507227,4.740457737,2.258012585
lyr167,3.109419753,1.942041609,3.28698193,4.675094911,2.225347574
lyr168,3.008283292,2.040874559,3.297913007,4.415976289,2.327535727
lyr169,3.033487902,2.084745544,3.307884106,4.733828045,2.368951538
lyr170,3.114093189,2.058721096,3.320614916,4.711762565,2.364135295
lyr171,3.216800586,2.165069162,3.33891154,4.870229473,2.477716735
lyr172,3.072143797,2.183323206,3.310087113,4.828886077,2.481572359
lyr173,3.091262905,2.179208491,3.370358841,4.696693581,2.485544646
lyr174,2.973330018,2.210884006,3.331322054,4.9072061,2.509366799
lyr175,3.066181301,2.340298052,3.363688056,4.804396647,2.627910742
lyr176,3.021183418,2.307745222,3.353913121,4.840568408,2.603871856
lyr177,3.150874768,2.320269889,3.425448141,4.832635938,2.62707364
lyr178,3.305972593,2.353989664,3.4194064,4.909351903,2.664212216
lyr179,3.078677809,2.448076083,3.418782255,4.885569132,2.744257347
lyr180,3.071568013,2.51264922,3.426816887,4.68281233,2.803474893
lyr181,3.116713653,2.571807218,3.398168533,4.847515991,2.840625324
lyr182,3.06825842,2.568469256,3.451693266,4.901173281,2.855564941
lyr183,2.98019763,2.567038896,3.432296805,5.062478287,2.858415136
lyr184,3.067006682,2.623497703,3.437541238,5.075236295,2.916184007
lyr185,2.983503254,2.620191341,3.48359953,5.036728066,2.91768933
lyr186,3.029130272,2.716875644,3.435312279,5.04456441,2.985059501
lyr187,3.055957593,2.690656972,3.494379894,5.141482456,2.982529016
lyr188,3.166971227,2.756258872,3.534839912,5.061660808,3.046439711
lyr189,3.054022503,2.801897024,3.496883195,5.12090669,3.07698271
lyr190,3.071587362,2.837603617,3.532757339,5.301054328,3.104669391
lyr191,3.035685535,2.852523574,3.534528666,5.270538057,3.1233222
lyr192,2.927013046,2.857472193,3.549293856,5.252936864,3.135864059
lyr193,3.067039377,2.873743764,3.566978595,5.226304615,3.15845652
lyr194,3.108274044,2.921430353,3.5825387,5.279491904,3.194341487
lyr195,3.1066012,2.944968893,3.594603374,5.163515196,3.212225359
lyr196,2.976788617,2.981878146,3.57029646,5.364923352,3.242940488
lyr197,3.036430081,3.010532882,3.574129988,5.394631591,3.261619062
lyr198,2.918065321,3.011729002,3.580411533,5.303174696,3.265243945
lyr199,2.914145265,3.087359933,3.60597585,5.314764391,3.326975044
lyr200,2.835805352,3.09597112,3.56290835,5.289561287,3.321064497
lyr201,2.830186039,3.135550634,3.593024221,5.208419517,3.353543714
lyr202,2.823769864,3.203212756,3.563074348,5.341549772,3.392242306
lyr203,2.856815255,3.169810574,3.580101174,5.413327861,3.379697857
lyr204,2.861945289,3.196284328,3.588296804,5.333488634,3.399448904
lyr205,2.842492953,3.18655113,3.556802576,5.435390261,3.385901151
lyr206,2.879466051,3.287019211,3.58780476,5.418404404,3.454287524
lyr207,2.759038053,3.30590369,3.592463355,5.519582636,3.471853337
lyr208,2.862234599,3.297321955,3.603862217,5.522828001,3.475483617
lyr209,2.893203576,3.344723387,3.645993809,5.447999657,3.521987755
lyr210,2.786597527,3.373179076,3.613687661,5.550013199,3.52116314
lyr211,2.71307483,3.369344284,3.655986257,5.657972552,3.538150609
lyr212,2.91918428,3.418959896,3.639286633,5.680079777,3.563637376
lyr213,2.811172102,3.469840714,3.69069676,5.611544872,3.610455038
lyr214,2.858205605,3.485819031,3.716077149,5.648169359,3.631448996
lyr215,2.799243168,3.46578165,3.678998945,5.75474935,3.605154623
lyr216,2.885770612,3.509220777,3.710231127,5.766487776,3.644907292
lyr217,2.953940089,3.584987053,3.742425473,6.011673899,3.710174182
lyr218,2.748811314,3.606373698,3.729457728,5.978906178,3.708003332
lyr219,2.856838708,3.629482949,3.765480308,5.895502161,3.736716154
lyr220,3.007078064,3.641978055,3.808904009,5.985312658,3.768821915
lyr221,2.860306766,3.68775448,3.805603427,5.888210732,3.784852493
lyr222,2.88785404,3.692736058,3.857368925,6.108604207,3.816766246
lyr223,2.905545351,3.733464428,3.889896834,6.213401078,3.855386219
lyr224,2.968589728,3.782958414,3.893218663,6.214027542,3.88576896
lyr225,2.844414324,3.78418096,3.903114566,6.425182462,3.889766051
lyr226,2.893131621,3.809009391,3.931093487,6.389647178,3.916744645
lyr227,2.802684662,3.844422199,3.949898911,6.369474889,3.942332259
lyr228,2.75112286,3.870106041,3.965761808,6.440021591,3.958949206
lyr229,2.749216798,3.852483737,3.949204551,6.52048378,3.943734524
lyr230,2.879148015,3.89734339,3.992642788,6.58968706,3.991304465
lyr231,2.874736877,3.930635679,4.017160511,6.607864522,4.020194106
lyr232,2.899356564,3.907370839,4.038296881,6.646970571,4.019953332
lyr233,2.805960257,3.955394512,4.06693775,6.660096486,4.054255469
lyr234,2.849331498,3.990195457,4.078721876,6.690961347,4.078677201
lyr235,2.815160281,3.986499873,4.068918224,6.720212766,4.070355309
lyr236,2.688382542,4.021175729,4.102412579,6.737203796,4.097927824
lyr237,2.796840666,4.02126929,4.10515141,6.734156272,4.102818079
lyr238,2.826131254,4.009114356,4.132494574,6.799738658,4.112697066
lyr239,2.788502824,4.046916997,4.116904269,6.72076022,4.119622437
lyr240,2.770342211,4.060146185,4.131094627,6.814980859,4.133995839
lyr241,2.815498089,4.088613968,4.129717519,6.814470005,4.147606223
lyr242,2.721714314,4.073624459,4.169484078,6.799067927,4.152666041
lyr243,2.693481009,4.093268859,4.187316114,6.849016928,4.170850552
lyr244,2.724653223,4.076330309,4.176968348,6.811412653,4.159462095
lyr245,2.718206433,4.089191481,4.193227277,6.797921796,4.175046572
lyr246,2.700283889,4.111198305,4.206803696,6.842651393,4.187215632
lyr247,2.805965728,4.106055662,4.212789006,6.801119974,4.192892182
lyr248,2.726515282,4.126981475,4.269179717,6.874128462,4.223711455
lyr249,2.824619,4.143383226,4.269716528,6.856976224,4.236917141
lyr250,2.762820448,4.154289717,4.311052155,6.910014205,4.258421892
lyr251,2.828451348,4.158563002,4.314940951,6.915308779,4.266437419
