Year,mean_585,std_585,mean_370,std_370,mean_245,std_245,mean_126,std_126,TF
2007,17135.28116,7322.47759,17135.28116,7322.47759,15479.38854,7375.17075,15479.38854,5781.07508,1990-2010
2008,17428.45092,7233.13813,17428.45092,7233.13813,15741.56525,7185.81879,15741.56525,5632.65033,1990-2010
2009,17616.41683,7407.34216,17616.41683,7407.34216,15886.62615,7338.29099,15886.62615,5752.16665,1990-2010
2010,17605.57117,7158.17628,17605.57117,7158.17628,15793.35941,6976.14381,15793.35941,5468.29525,1990-2010
2011,17712.09619,7364.69298,17712.09619,7364.69298,16014.48679,7300.07163,16014.48679,5722.20815,NA
2012,17819.03091,7633.95486,17819.03091,7633.95486,16175.75617,7603.76671,16175.75617,5960.2615,NA
2013,17732.27615,7375.8975,17732.27615,7375.8975,15910.1156,7242.55282,15910.1156,5677.12166,NA
2014,18764.44224,7833.23133,18764.44224,7833.23133,16874.25721,7855.44765,16874.25721,6157.54323,NA
2015,18612.35896,7610.7683,18037.57612,7442.51603,17875.90751,8445.92102,17211.14034,6093.61918,NA
2016,18970.15441,7906.9169,17775.08848,7525.96348,17758.90282,8450.40215,16996.59687,6056.94556,NA
2017,19270.37374,8236.96694,18579.20511,7597.57236,17430.82855,8053.44031,17556.85424,6394.18704,NA
2018,18964.83214,8060.77904,18825.30112,7627.01334,17622.75054,8399.74925,17800.95954,6534.05397,NA
2019,19847.168,8281.15174,18971.32334,7911.69353,18249.03522,8166.41495,18172.63504,6400.13213,NA
2020,20422.36454,8288.31331,19698.77973,8074.14021,18852.00939,8518.77603,18556.89737,6475.81551,NA
2021,20647.53061,8551.55147,19748.1188,8075.05599,18438.24295,8619.18819,18669.22173,6560.13181,NA
2022,21015.43129,8824.22562,19749.31755,7681.63936,19275.20796,8988.06273,18852.41467,6700.44135,NA
2023,21114.15445,8824.02652,19958.32288,8057.67352,19626.29604,8936.35867,19507.38685,6827.01388,NA
2024,21736.05922,8730.40127,20821.36573,8122.16938,19359.29168,8801.76899,19697.19199,6878.79354,NA
2025,21997.79448,9028.32495,20823.53372,8462.83569,19903.13237,8606.98023,20193.90306,6960.55792,NA
2026,22363.4403,9212.38901,20867.93184,8285.61948,19310.47889,8706.54962,20196.26054,7093.63637,NA
2027,22644.38394,9268.34119,21160.79339,8328.07659,19880.00447,8810.33443,20498.85052,7178.00963,NA
2028,23318.90325,9474.67933,21930.92176,8451.37507,20309.93325,9248.06616,20485.4794,7295.22191,NA
2029,23514.09706,9672.26347,22438.44132,8614.10374,20755.19334,9259.20207,20392.41949,7146.25349,NA
2030,23541.52127,9816.1684,22640.75046,8712.07605,20932.94056,9217.98374,21005.1144,7190.33909,NA
2031,24217.91311,9919.05125,22845.02177,8826.0044,20794.61904,9250.21921,21154.22791,7409.82298,NA
2032,24585.87354,9819.01717,23018.33577,8963.93815,21137.07321,9317.73613,21034.41154,7370.82247,NA
2033,25165.68662,10124.87766,23758.28032,9113.32162,21055.36874,9402.66921,21491.23898,7660.21829,NA
2034,25075.38714,10177.44435,23482.69717,9223.00263,22167.1457,9520.46118,21880.06574,7706.07165,NA
2035,25883.29769,10336.3365,24235.47152,9218.58062,22546.68923,9550.05864,21816.48723,7755.30332,NA
2036,26329.78975,10604.59042,24262.52496,9114.4899,22754.33853,9670.23744,22585.16542,7814.9854,NA
