,mean_585,mean_370,mean_245,mean_126,std_585,std_370,std_245,std_126,Year,,,,,,,,,,,,,,,,
thaw_depth_82,1.089274072,1.089274072,0.990326402,0.990326402,0.449278202,0.449278202,0.41758052,0.41758052,1931,,,,,,,,,,,,,,,,
thaw_depth_83,1.138611638,1.138611638,1.038968427,1.038968427,0.467804295,0.467804295,0.437779035,0.437779035,1932,,,,,,,,,,,,,,,,
thaw_depth_84,1.098730372,1.098730372,1.002475332,1.002475332,0.44640071,0.44640071,0.410721013,0.410721013,1933,,,,,,,,,,,,,,,,
thaw_depth_85,1.105533059,1.105533059,1.004101822,1.004101822,0.446693325,0.446693325,0.410476977,0.410476977,1934,,,,,,,,,,,,,,,,
thaw_depth_86,1.068550511,1.068550511,0.966214879,0.966214879,0.435356089,0.435356089,0.396565644,0.396565644,1935,,,,,,,,,,,,,,,,
thaw_depth_87,1.092135204,1.092135204,0.999810095,0.999810095,0.432998709,0.432998709,0.394891129,0.394891129,1936,,,,,,,,,,,,,,,,
thaw_depth_88,1.099509124,1.099509124,0.969002324,0.969002324,0.432998709,0.432998709,0.394891129,0.394891129,1937,,,,,,,,,,,,,,,,
thaw_depth_89,1.089437638,1.089437638,1.028332529,1.028332529,0.456365286,0.456365286,0.432946858,0.432946858,1938,,,,,,,,,,,,,,,,
thaw_depth_90,1.133056654,1.133056654,1.015635576,1.015635576,0.472678363,0.472678363,0.434268507,0.434268507,1939,,,,,,,,,,,,,,,,
thaw_depth_91,1.157891699,1.157891699,1.055680278,1.055680278,0.484469562,0.484469562,0.452799417,0.452799417,1940,,,,,,,,,,,,,,,,
thaw_depth_92,1.108326933,1.108326933,1.03491797,1.03491797,0.453415317,0.453415317,0.425289457,0.425289457,1941,,,,,,,,,,,,,,,,
thaw_depth_93,1.117800235,1.117800235,0.995527002,0.995527002,0.460018124,0.460018124,0.422555353,0.422555353,1942,,,,,,,,,,,,,,,,
thaw_depth_94,1.119933472,1.119933472,1.005043979,1.005043979,0.45607974,0.45607974,0.417947327,0.417947327,1943,,,,,,,,,,,,,,,,
thaw_depth_95,1.10123786,1.10123786,0.988078293,0.988078293,0.440208928,0.440208928,0.402415461,0.402415461,1944,,,,,,,,,,,,,,,,
thaw_depth_96,1.15024269,1.15024269,1.055072661,1.055072661,0.475989486,0.475989486,0.465547296,0.465547296,1945,,,,,,,,,,,,,,,,
thaw_depth_97,1.164377727,1.164377727,1.071826896,1.071826896,0.483400431,0.483400431,0.476813783,0.476813783,1946,,,,,,,,,,,,,,,,
thaw_depth_98,1.1358395,1.1358395,1.031885855,1.031885855,0.467742879,0.467742879,0.444756117,0.444756117,1947,,,,,,,,,,,,,,,,
thaw_depth_99,1.130481983,1.130481983,1.049795346,1.049795346,0.479356854,0.479356854,0.476788839,0.476788839,1948,,,,,,,,,,,,,,,,
thaw_depth_100,1.124040153,1.124040153,1.028360674,1.028360674,0.478239284,0.478239284,0.46986833,0.46986833,1949,,,,,,,,,,,,,,,,
thaw_depth_101,1.120442527,1.120442527,1.024732108,1.024732108,0.452664025,0.452664025,0.434335698,0.434335698,1950,,,,,,,,,,,,,,,,
thaw_depth_102,1.119284118,1.119284118,0.999857763,0.999857763,0.469178739,0.469178739,0.439835707,0.439835707,1951,,,,,,,,,,,,,,,,
thaw_depth_103,1.14393721,1.14393721,1.04316159,1.04316159,0.473923402,0.473923402,0.446906044,0.446906044,1952,,,,,,,,,,,,,,,,
thaw_depth_104,1.162483716,1.162483716,1.049073702,1.049073702,0.480810139,0.480810139,0.461475602,0.461475602,1953,,,,,,,,,,,,,,,,
thaw_depth_105,1.140889448,1.140889448,1.02939575,1.02939575,0.47826037,0.47826037,0.4564806,0.4564806,1954,,,,,,,,,,,,,,,,
thaw_depth_106,1.147722913,1.147722913,1.033024422,1.033024422,0.480488921,0.480488921,0.454447667,0.454447667,1955,,,,,,,,,,,,,,,,
thaw_depth_107,1.142893452,1.142893452,1.035080121,1.035080121,0.478414098,0.478414098,0.452390833,0.452390833,1956,,,,,,,,,,,,,,,,
thaw_depth_108,1.174568817,1.174568817,1.080873441,1.080873441,0.503616723,0.503616723,0.488182214,0.488182214,1957,,,,,,,,,,,,,,,,
thaw_depth_109,1.106833918,1.106833918,1.031502689,1.031502689,0.459838826,0.459838826,0.437191681,0.437191681,1958,,,,,,,,,,,,,,,,
thaw_depth_110,1.142721385,1.142721385,1.029397965,1.029397965,0.481585487,0.481585487,0.449239888,0.449239888,1959,,,,,,,,,,,,,,,,
thaw_depth_111,1.133398086,1.133398086,1.027889314,1.027889314,0.488899935,0.488899935,0.46078898,0.46078898,1960,,,,,,,,,,,,,,,,
thaw_depth_112,1.156430976,1.156430976,1.027532988,1.027532988,0.475848393,0.475848393,0.435823514,0.435823514,1961,,,,,,,,,,,,,,,,
thaw_depth_113,1.117754072,1.117754072,1.02179084,1.02179084,0.480974541,0.480974541,0.449277902,0.449277902,1962,,,,,,,,,,,,,,,,
thaw_depth_114,1.163489887,1.163489887,1.055239109,1.055239109,0.495196893,0.495196893,0.453148018,0.453148018,1963,,,,,,,,,,,,,,,,
thaw_depth_115,1.113677335,1.113677335,1.007858755,1.007858755,0.479858535,0.479858535,0.449051809,0.449051809,1964,,,,,,,,,,,,,,,,
thaw_depth_116,1.131674177,1.131674177,1.017255459,1.017255459,0.475175097,0.475175097,0.441905241,0.441905241,1965,,,,,,,,,,,,,,,,
thaw_depth_117,1.102829191,1.102829191,1.002497225,1.002497225,0.472892236,0.472892236,0.44436489,0.44436489,1966,,,,,,,,,,,,,,,,
thaw_depth_118,1.079133357,1.079133357,0.966839255,0.966839255,0.455051131,0.455051131,0.40494933,0.40494933,1967,,,,,,,,,,,,,,,,
thaw_depth_119,1.096138553,1.096138553,1.005983011,1.005983011,0.467962652,0.467962652,0.428741166,0.428741166,1968,,,,,,,,,,,,,,,,
thaw_depth_120,1.087078414,1.087078414,0.979293821,0.979293821,0.490187365,0.490187365,0.460464981,0.460464981,1969,,,,,,,,,,,,,,,,
thaw_depth_121,1.103809414,1.103809414,0.999460267,0.999460267,0.486963341,0.486963341,0.458161303,0.458161303,1970,,,,,,,,,,,,,,,,
thaw_depth_122,1.093390485,1.093390485,1.006602997,1.006602997,0.449899439,0.449899439,0.407472034,0.407472034,1971,,,,,,,,,,,,,,,,
thaw_depth_123,1.065482778,1.065482778,0.989903166,0.989903166,0.454501738,0.454501738,0.426311659,0.426311659,1972,,,,,,,,,,,,,,,,
thaw_depth_124,1.135295262,1.135295262,1.035605212,1.035605212,0.459114443,0.459114443,0.415570307,0.415570307,1973,,,,,,,,,,,,,,,,
thaw_depth_125,1.075885653,1.075885653,0.976628363,0.976628363,0.441776957,0.441776957,0.401220297,0.401220297,1974,,,,,,,,,,,,,,,,
thaw_depth_126,1.108187999,1.108187999,1.028080288,1.028080288,0.436584232,0.436584232,0.409454291,0.409454291,1975,,,,,,,,,,,,,,,,
thaw_depth_127,1.115182557,1.115182557,1.018025907,1.018025907,0.455826534,0.455826534,0.413453915,0.413453915,1976,,,,,,,,,,,,,,,,
thaw_depth_128,1.133858122,1.133858122,1.035527526,1.035527526,0.460194677,0.460194677,0.431939189,0.431939189,1977,,,,,,,,,,,,,,,,
thaw_depth_129,1.140398467,1.140398467,1.038276852,1.038276852,0.459539167,0.459539167,0.436908888,0.436908888,1978,,,,,,,,,,,,,,,,
thaw_depth_130,1.111406037,1.111406037,1.040807385,1.040807385,0.47037133,0.47037133,0.453420853,0.453420853,1979,,,,,,,,,,,,,,,,
thaw_depth_131,1.150769562,1.150769562,1.053518363,1.053518363,0.47613261,0.47613261,0.447268494,0.447268494,1980,,,,,,,,,,,,,,,,
thaw_depth_132,1.109148081,1.109148081,1.023710626,1.023710626,0.476012091,0.476012091,0.467436346,0.467436346,1981,,,,,,,,,,,,,,,,
