Year,mean_585,std_585,mean_370,std_370,mean_245,std_245,mean_126,std_126,TF
1943,1.285559574,0.53252325,1.285559574,0.53252325,1.175676434,0.539008732,1.175676434,0.422505465,NA
1944,1.266633052,0.528959537,1.266633052,0.528959537,1.157711449,0.535158429,1.157711449,0.419487381,NA
1945,1.331832775,0.575366383,1.331832775,0.575366383,1.239430701,0.615770895,1.239430701,0.482675981,NA
1946,1.344400539,0.570235471,1.344400539,0.570235471,1.279738458,0.622136329,1.279738458,0.487665568,NA
1947,1.32987395,0.559562435,1.32987395,0.559562435,1.239124581,0.585377494,1.239124581,0.458851918,NA
1948,1.315821342,0.563571595,1.315821342,0.563571595,1.25255471,0.623664582,1.25255471,0.488863499,NA
1949,1.309400627,0.557603219,1.309400627,0.557603219,1.214227389,0.592635734,1.214227389,0.464541337,NA
1950,1.295470716,0.527956132,1.295470716,0.527956132,1.211572838,0.553427259,1.211572838,0.433807521,NA
1951,1.303337893,0.54972718,1.303337893,0.54972718,1.189262686,0.562175014,1.189262686,0.440664505,NA
1952,1.31771549,0.56183224,1.31771549,0.56183224,1.217032369,0.582226491,1.217032369,0.456381984,NA
1953,1.347885512,0.57815363,1.347885512,0.57815363,1.241820782,0.600869415,1.241820782,0.470995361,NA
1954,1.32528892,0.571296124,1.32528892,0.571296124,1.214188471,0.587767178,1.214188471,0.460725088,NA
1955,1.329451045,0.572697765,1.329451045,0.572697765,1.217057611,0.5917802,1.217057611,0.46387072,NA
1956,1.328909727,0.566934845,1.328909727,0.566934845,1.223175613,0.588978412,1.223175613,0.461674521,NA
1957,1.36010486,0.581319604,1.36010486,0.581319604,1.268480558,0.622437854,1.268480558,0.48790192,NA
1958,1.299677545,0.53566241,1.299677545,0.53566241,1.196301727,0.565310591,1.196301727,0.443122347,NA
1959,1.318059873,0.559812582,1.318059873,0.559812582,1.208600582,0.582089751,1.208600582,0.4562748,NA
1960,1.311719196,0.566922518,1.311719196,0.566922518,1.197178164,0.578240595,1.197178164,0.453257614,NA
1961,1.334134404,0.560328879,1.334134404,0.560328879,1.21290095,0.568350917,1.21290095,0.445505526,NA
1962,1.300792451,0.549497191,1.300792451,0.549497191,1.199006258,0.571219974,1.199006258,0.447754455,NA
1963,1.364295004,0.596240451,1.364295004,0.596240451,1.238738893,0.601014551,1.238738893,0.471109126,NA
1964,1.276807053,0.56264755,1.276807053,0.56264755,1.168816249,0.582511094,1.168816249,0.456605072,NA
1965,1.305877883,0.553080444,1.305877883,0.553080444,1.189484324,0.564428508,1.189484324,0.44243092,NA
1966,1.269385027,0.538030022,1.269385027,0.538030022,1.176114677,0.562729786,1.176114677,0.441099366,NA
1967,1.222870634,0.506502862,1.222870634,0.506502862,1.116204616,0.497186772,1.116204616,0.389723053,NA
1968,1.249567997,0.51969448,1.249567997,0.51969448,1.16414185,0.534861971,1.16414185,0.419255,NA
1969,1.268213372,0.563402345,1.268213372,0.563402345,1.153861883,0.578352209,1.153861883,0.453345104,NA
1970,1.279492,0.569023587,1.279492,0.569023587,1.178492462,0.58337272,1.178492462,0.457280463,NA
1971,1.258569067,0.510002225,1.258569067,0.510002225,1.17817326,0.525346098,1.17817326,0.411795922,NA
1972,1.225698631,0.498872212,1.225698631,0.498872212,1.159062846,0.519464516,1.159062846,0.407185606,NA
1973,1.30680383,0.540881896,1.30680383,0.540881896,1.213355359,0.550335926,1.213355359,0.431384359,NA
1974,1.238406918,0.499356106,1.238406918,0.499356106,1.141094655,0.507801117,1.141094655,0.398043175,NA
1975,1.278260033,0.509578398,1.278260033,0.509578398,1.200192845,0.531586939,1.200192845,0.416687845,NA
1976,1.284317786,0.522851545,1.284317786,0.522851545,1.188326886,0.527592738,1.188326886,0.413556966,NA
1977,1.332550908,0.546800884,1.332550908,0.546800884,1.224807335,0.552761892,1.224807335,0.433285969,NA
1978,1.320096155,0.542768997,1.320096155,0.542768997,1.229366259,0.566194189,1.229366259,0.443814961,NA
1979,1.305512042,0.54383025,1.305512042,0.54383025,1.220727789,0.568876011,1.220727789,0.445917125,NA
1980,1.336636439,0.565190251,1.336636439,0.565190251,1.227258792,0.584139306,1.227258792,0.457881357,NA
1981,1.282606625,0.537995283,1.282606625,0.537995283,1.205557096,0.586542592,1.205557096,0.459765188,NA
1982,1.299862646,0.530913921,1.299862646,0.530913921,1.224520591,0.564489741,1.224520591,0.442478918,NA
1983,1.303509949,0.517456942,1.303509949,0.517456942,1.236015393,0.552181549,1.236015393,0.432831063,NA
1984,1.276654577,0.525897066,1.276654577,0.525897066,1.214211776,0.567254671,1.214211776,0.444646226,NA
1985,1.345341589,0.547301772,1.345341589,0.547301772,1.280780686,0.600384374,1.280780686,0.470615158,NA
1986,1.347239429,0.542246283,1.347239429,0.542246283,1.264561906,0.575980274,1.264561906,0.451485846,NA
1987,1.340625335,0.534916358,1.340625335,0.534916358,1.264669336,0.563360061,1.264669336,0.441593411,NA
1988,1.329819138,0.537148903,1.329819138,0.537148903,1.250811264,0.57503241,1.250811264,0.450742857,NA
1989,1.356609026,0.544538413,1.356609026,0.544538413,1.29543796,0.593608711,1.29543796,0.465304011,NA
1990,1.359122612,0.5246337,1.359122612,0.5246337,1.269500202,0.534361791,1.269500202,0.418862931,1990-2010
1991,1.359177283,0.533451933,1.359177283,0.533451933,1.2668194,0.537663092,1.2668194,0.421450677,1990-2010
1992,1.3446517,0.557089009,1.3446517,0.557089009,1.24638958,0.568236074,1.24638958,0.445415506,1990-2010
1993,1.363394186,0.558672671,1.363394186,0.558672671,1.276564971,0.582615713,1.276564971,0.456687078,1990-2010
1994,1.352932901,0.542377306,1.352932901,0.542377306,1.286964418,0.582906167,1.286964418,0.456914752,1990-2010
1995,1.341139927,0.527523441,1.341139927,0.527523441,1.246484755,0.526927914,1.246484755,0.413035838,1990-2010
1996,1.438491614,0.572351576,1.438491614,0.572351576,1.333257506,0.58283984,1.333257506,0.456862761,1990-2010
1997,1.445187682,0.560236056,1.445187682,0.560236056,1.361791929,0.570894794,1.361791929,0.44749956,1990-2010
1998,1.456187507,0.576165708,1.456187507,0.576165708,1.364335815,0.589162414,1.364335815,0.461818752,1990-2010
1999,1.465917679,0.606499811,1.465917679,0.606499811,1.40474555,0.646035797,1.40474555,0.50639932,1990-2010
2000,1.497058477,0.611329835,1.497058477,0.611329835,1.422270316,0.649463703,1.422270316,0.509086305,1990-2010
2001,1.527655505,0.638315436,1.527655505,0.638315436,1.43028915,0.666014798,1.43028915,0.522059988,1990-2010
2002,1.553141269,0.628046598,1.553141269,0.628046598,1.443913311,0.631835177,1.443913311,0.495268072,1990-2010
2003,1.536420025,0.632942347,1.536420025,0.632942347,1.410220011,0.625515216,1.410220011,0.49031413,1990-2010
2004,1.603141983,0.654029715,1.603141983,0.654029715,1.460089837,0.647754287,1.460089837,0.507746369,1990-2010
2005,1.617996764,0.64347344,1.617996764,0.64347344,1.493927638,0.645184561,1.493927638,0.505732073,1990-2010
2006,1.676034323,0.68862778,1.676034323,0.68862778,1.517924485,0.686795649,1.517924485,0.538349192,1990-2010
2007,1.713528116,0.732247759,1.713528116,0.732247759,1.547938854,0.737517075,1.547938854,0.578107508,1990-2010
2008,1.742845092,0.723313813,1.742845092,0.723313813,1.574156525,0.718581879,1.574156525,0.563265033,1990-2010
2009,1.761641683,0.740734216,1.761641683,0.740734216,1.588662615,0.733829099,1.588662615,0.575216665,1990-2010
2010,1.760557117,0.715817628,1.760557117,0.715817628,1.579335941,0.697614381,1.579335941,0.546829525,1990-2010
2011,1.771209619,0.736469298,1.771209619,0.736469298,1.601448679,0.730007163,1.601448679,0.572220815,NA
2012,1.781903091,0.763395486,1.781903091,0.763395486,1.617575617,0.760376671,1.617575617,0.59602615,NA
2013,1.773227615,0.73758975,1.773227615,0.73758975,1.59101156,0.724255282,1.59101156,0.567712166,NA
2014,1.876444224,0.783323133,1.876444224,0.783323133,1.687425721,0.785544765,1.687425721,0.615754323,NA
2015,1.861235896,0.76107683,1.803757612,0.744251603,1.787590751,0.844592102,1.721114034,0.609361918,NA
2016,1.897015441,0.79069169,1.777508848,0.752596348,1.775890282,0.845040215,1.699659687,0.605694556,NA
2017,1.927037374,0.823696694,1.857920511,0.759757236,1.743082855,0.805344031,1.755685424,0.639418704,NA
2018,1.896483214,0.806077904,1.882530112,0.762701334,1.762275054,0.839974925,1.780095954,0.653405397,NA
2019,1.9847168,0.828115174,1.897132334,0.791169353,1.824903522,0.816641495,1.817263504,0.640013213,NA
2020,2.042236454,0.828831331,1.969877973,0.807414021,1.885200939,0.851877603,1.855689737,0.647581551,NA
2021,2.064753061,0.855155147,1.97481188,0.807505599,1.843824295,0.861918819,1.866922173,0.656013181,NA
2022,2.101543129,0.882422562,1.974931755,0.768163936,1.927520796,0.898806273,1.885241467,0.670044135,NA
2023,2.111415445,0.882402652,1.995832288,0.805767352,1.962629604,0.893635867,1.950738685,0.682701388,NA
2024,2.173605922,0.873040127,2.082136573,0.812216938,1.935929168,0.880176899,1.969719199,0.687879354,NA
2025,2.199779448,0.902832495,2.082353372,0.846283569,1.990313237,0.860698023,2.019390306,0.696055792,NA
2026,2.23634403,0.921238901,2.086793184,0.828561948,1.931047889,0.870654962,2.019626054,0.709363637,NA
2027,2.264438394,0.926834119,2.116079339,0.832807659,1.988000447,0.881033443,2.049885052,0.717800963,NA
2028,2.331890325,0.947467933,2.193092176,0.845137507,2.030993325,0.924806616,2.04854794,0.729522191,NA
2029,2.351409706,0.967226347,2.243844132,0.861410374,2.075519334,0.925920207,2.039241949,0.714625349,NA
2030,2.354152127,0.98161684,2.264075046,0.871207605,2.093294056,0.921798374,2.10051144,0.719033909,NA
2031,2.421791311,0.991905125,2.284502177,0.88260044,2.079461904,0.925021921,2.115422791,0.740982298,NA
2032,2.458587354,0.981901717,2.301833577,0.896393815,2.113707321,0.931773613,2.103441154,0.737082247,NA
2033,2.516568662,1.012487766,2.375828032,0.911332162,2.105536874,0.940266921,2.149123898,0.766021829,NA
2034,2.507538714,1.017744435,2.348269717,0.922300263,2.21671457,0.952046118,2.188006574,0.770607165,NA
2035,2.588329769,1.03363365,2.423547152,0.921858062,2.254668923,0.955005864,2.181648723,0.775530332,NA
2036,2.632978975,1.060459042,2.426252496,0.91144899,2.275433853,0.967023744,2.258516542,0.78149854,NA
2037,2.63112101,1.052014014,2.463987393,0.908580611,2.267903925,1.012271776,2.306721694,0.806387085,NA
2038,2.685634345,1.062920281,2.522326199,0.941084218,2.300391536,1.016140692,2.318990577,0.786293909,NA
2039,2.756818414,1.078089138,2.527800455,0.935308592,2.363042998,0.989779985,2.282790404,0.797108715,NA
2040,2.790794522,1.120661178,2.55952151,0.953586602,2.372710488,0.991083805,2.298359099,0.797337406,NA
2041,2.817855224,1.125807466,2.597051322,0.989418173,2.398707364,1.044898494,2.317649565,0.792222694,NA
2042,2.862289573,1.136077148,2.620053457,0.988083712,2.43483098,1.021028509,2.318627573,0.805131899,NA
2043,2.90961259,1.13540872,2.647970245,0.967075403,2.468108538,1.044453748,2.339104613,0.791976183,NA
2044,2.907602683,1.146571352,2.642065517,0.973348266,2.470901475,1.069928866,2.358067081,0.809398351,NA
2045,2.98075911,1.142067038,2.694416616,0.987176049,2.477324013,1.048895916,2.39761202,0.828018518,NA
2046,2.999060343,1.163272686,2.721457606,0.987326352,2.509442613,1.079533963,2.422281873,0.822240919,NA
2047,3.012050394,1.167135421,2.751720364,0.995266104,2.556274007,1.075513628,2.447860867,0.8240293,NA
2048,3.070413304,1.172652963,2.811800162,1.038460949,2.578647017,1.07642243,2.445969106,0.830644534,NA
2049,3.116706552,1.171272898,2.841722936,1.013526173,2.606876698,1.108380949,2.450055503,0.816778531,NA
2050,3.128311586,1.170537723,2.898370754,1.039452337,2.623641054,1.126338749,2.510614623,0.846071391,NA
2051,3.119825397,1.169629643,2.963114663,1.038585012,2.642212822,1.124637727,2.525535495,0.868668599,NA
2052,3.173756712,1.163595817,2.92220699,1.07110347,2.695679131,1.09832918,2.494848184,0.836052601,NA
2053,3.230342908,1.166836722,2.973124915,1.086373153,2.696100712,1.143907523,2.468847988,0.826282123,NA
2054,3.248019984,1.179177925,2.99854833,1.09143724,2.689933066,1.108309393,2.509450558,0.829758243,NA
2055,3.274208587,1.149019001,3.085143498,1.08441815,2.729079746,1.095680373,2.575150521,0.855238368,NA
2056,3.314634499,1.153200359,3.10766205,1.09220621,2.717404553,1.115501979,2.575667541,0.841411535,NA
2057,3.337894222,1.15140275,3.117497051,1.098553851,2.739590041,1.125129025,2.601990084,0.828425186,NA
2058,3.437850627,1.146434044,3.172605283,1.11547863,2.786971769,1.152786288,2.546089388,0.845881115,NA
2059,3.459513638,1.176893793,3.193845064,1.135103473,2.82046471,1.12726537,2.600450455,0.862123848,NA
2060,3.512297187,1.16972412,3.20510947,1.160806668,2.857679592,1.126607652,2.614642809,0.853916191,NA
2061,3.51001973,1.147343072,3.245428956,1.173285552,2.875968143,1.151487142,2.611080198,0.843126646,NA
2062,3.582888004,1.133138675,3.302536164,1.144014449,2.90178401,1.166361037,2.648274667,0.851497286,NA
2063,3.608683516,1.130326411,3.325782152,1.139429808,2.952961306,1.157772039,2.671757512,0.86068172,NA
2064,3.64804925,1.139904901,3.301780994,1.166289982,2.959229115,1.180963076,2.65186066,0.867625525,NA
2065,3.663802217,1.124575704,3.353044093,1.168506288,2.975510534,1.153139393,2.675505197,0.873978024,NA
2066,3.690496819,1.110544859,3.431893113,1.130923451,2.988881264,1.16511455,2.719566898,0.87051786,NA
2067,3.754414086,1.095272965,3.456799918,1.13203983,3.024104615,1.143614951,2.705892615,0.874816196,NA
2068,3.751061886,1.112267401,3.471383743,1.132193058,3.091831306,1.114434384,2.709149914,0.902163117,NA
2069,3.795864048,1.080108769,3.489391054,1.134707704,3.072784547,1.140586428,2.71370794,0.896883521,NA
2070,3.839640296,1.069250867,3.540676031,1.124197119,3.022677486,1.16118865,2.741552285,0.910964859,NA
2071,3.864493106,1.056435975,3.5707028,1.090128126,3.074307078,1.165816763,2.749759422,0.899168222,NA
2072,3.908808344,1.028276403,3.625788852,1.07968299,3.112724193,1.127343496,2.759434665,0.899714576,NA
2073,3.914435439,1.040938086,3.662527926,1.086994806,3.10923644,1.115895028,2.741631435,0.881039724,NA
2074,3.926435826,1.035782603,3.685549122,1.092245571,3.155455001,1.131888532,2.759967429,0.873306801,NA
2075,3.968267789,1.007393833,3.703992209,1.084109383,3.150051545,1.123661302,2.773518682,0.861024261,NA
2076,4.017249689,0.972112357,3.739404332,1.074711974,3.163365315,1.121653451,2.760242302,0.887320434,NA
2077,4.02487594,0.983013794,3.762815436,1.071658878,3.14289462,1.151411614,2.751500166,0.863238838,NA
2078,4.040357171,0.9611143,3.744847782,1.099649208,3.185043427,1.122479257,2.773115462,0.871887993,NA
2079,4.062709979,0.959035144,3.816098938,1.058686387,3.161316767,1.130832926,2.801015865,0.883927565,NA
2080,4.131229353,0.917742285,3.85551452,1.044918778,3.177801092,1.105728601,2.80681305,0.87647616,2080-2100
2081,4.145470367,0.911993235,3.828917092,1.051993907,3.219042339,1.09275061,2.770832763,0.87616877,2080-2100
2082,4.181331435,0.898195648,3.877593959,1.027009555,3.211637536,1.100886902,2.808023698,0.864253162,2080-2100
2083,4.200904856,0.884152936,3.910754034,1.009116076,3.244300281,1.110004278,2.779338403,0.86546585,2080-2100
2084,4.220811173,0.870823465,3.919841281,1.020915635,3.279997385,1.092231569,2.798638395,0.866335114,2080-2100
2085,4.231482681,0.864189523,3.968712156,0.989296373,3.320645081,1.102179814,2.798657761,0.883362721,2080-2100
2086,4.262828097,0.843118171,3.987741801,0.986714891,3.334747442,1.081614648,2.808361032,0.879945932,2080-2100
2087,4.267773543,0.844454387,3.98111998,0.978444322,3.325354921,1.09394854,2.815608325,0.882981026,2080-2100
2088,4.289405366,0.825279837,4.021010361,0.970006861,3.315082097,1.123374624,2.784026771,0.875068776,2080-2100
2089,4.291731589,0.823153381,4.046226597,0.956096013,3.32390254,1.099605106,2.788306184,0.888947897,2080-2100
2090,4.323685312,0.800385814,4.071686496,0.946564824,3.312625589,1.093598663,2.805136613,0.869544946,2080-2100
2091,4.343627198,0.784969785,4.086487385,0.933512654,3.356046619,1.083633709,2.794512067,0.886236866,2080-2100
2092,4.352436972,0.778165825,4.10351312,0.931101836,3.408822966,1.062792566,2.841512486,0.896467893,2080-2100
2093,4.375406087,0.76191896,4.090425279,0.950618761,3.403191799,1.067181211,2.783239144,0.903377,2080-2100
2094,4.392162091,0.737438557,4.100522228,0.943507313,3.365083151,1.115586927,2.775917838,0.917169312,2080-2100
2095,4.416696364,0.714748546,4.12936626,0.926374047,3.421827473,1.071277716,2.800389747,0.896470738,2080-2100
2096,4.423248527,0.713001694,4.13647577,0.915823798,3.440506073,1.060068625,2.802442623,0.899779623,2080-2100
2097,4.429162059,0.71029731,4.17497021,0.887594501,3.440298528,1.066285894,2.81341397,0.8810833,2080-2100
2098,4.451752291,0.686477169,4.177567816,0.894585561,3.42869192,1.082213654,2.870271723,0.86381564,2080-2100
2099,4.449757478,0.690639039,4.204896714,0.870695033,3.404635872,1.067716659,2.846415014,0.875250047,2080-2100
2100,4.449757478,0.690639039,4.201593357,0.871563261,3.438196157,1.053226243,2.820469738,0.86273546,2080-2100
