Year,mean_126,std_126,mean_245,std_245,mean_370,std_370,mean_585,std_585,TF
1917,1.03499402,0.441074674,1.03499402,0.441074674,1.111101378,0.496488232,1.111101378,0.502116066,NA
1918,1.095370711,0.465608412,1.095370711,0.465608412,1.160504752,0.510856892,1.160504752,0.518145986,NA
1919,1.07459253,0.457686958,1.07459253,0.457686958,1.149987291,0.501248921,1.149987291,0.506553176,NA
1920,1.066155355,0.443319034,1.066155355,0.443319034,1.143771703,0.496895096,1.143771703,0.501109619,NA
1921,1.051545324,0.455508752,1.051545324,0.455508752,1.136182034,0.519549198,1.136182034,0.52461879,NA
1922,1.110148844,0.473602608,1.110148844,0.473602608,1.179343383,0.530178993,1.179343383,0.535078156,NA
1923,1.135020756,0.544854523,1.135020756,0.544854523,1.191465151,0.566848581,1.191465151,0.572209364,NA
1924,1.097497789,0.475786746,1.097497789,0.475786746,1.173750221,0.534089235,1.173750221,0.538639925,NA
1925,1.086184011,0.476381432,1.086184011,0.476381432,1.175257822,0.536321067,1.175257822,0.542677943,NA
1926,1.067499632,0.465922067,1.067499632,0.465922067,1.173057902,0.541284706,1.173057902,0.550049194,NA
1927,1.105613388,0.496892913,1.105613388,0.496892913,1.2006403,0.566138073,1.2006403,0.573127679,NA
1928,1.123874095,0.515912677,1.123874095,0.515912677,1.204937535,0.576891422,1.204937535,0.585425266,NA
1929,1.150026228,0.486946381,1.150026228,0.486946381,1.222536065,0.54900479,1.222536065,0.557669092,NA
1930,1.102252188,0.469614149,1.102252188,0.469614149,1.185903935,0.533144745,1.185903935,0.540703934,NA
1931,1.109467395,0.475621282,1.109467395,0.475621282,1.190614876,0.544036082,1.190614876,0.550764541,NA
1932,1.128924574,0.485889143,1.128924574,0.485889143,1.206635372,0.552725226,1.206635372,0.560988501,NA
1933,1.107515213,0.474017877,1.107515213,0.474017877,1.196758003,0.548882939,1.196758003,0.557621636,NA
1934,1.098937061,0.472650095,1.098937061,0.472650095,1.192839065,0.567127828,1.192839065,0.574074286,NA
1935,1.087627351,0.467271679,1.087627351,0.467271679,1.172436809,0.55471252,1.172436809,0.561291652,NA
1936,1.093104279,0.476400687,1.093104279,0.476400687,1.168994078,0.541047847,1.168994078,0.547030163,NA
1937,1.095254537,0.448035055,1.095254537,0.448035055,1.17937258,0.529631229,1.17937258,0.536629222,NA
1938,1.130888354,0.498049661,1.130888354,0.498049661,1.200724412,0.569371999,1.200724412,0.578706797,NA
1939,1.094972643,0.485063522,1.094972643,0.485063522,1.193701838,0.586413561,1.193701838,0.598539426,NA
1940,1.132398101,0.501654917,1.132398101,0.501654917,1.214233909,0.583356569,1.214233909,0.593065661,NA
1941,1.122548297,0.500138085,1.122548297,0.500138085,1.188472411,0.555247696,1.188472411,0.565794701,NA
1942,1.074838091,0.477350159,1.074838091,0.477350159,1.163795136,0.552666512,1.163795136,0.569310183,NA
1943,1.099519293,0.471282289,1.099519293,0.471282289,1.186593104,0.549024782,1.186593104,0.560710544,NA
1944,1.078500274,0.482311593,1.078500274,0.482311593,1.172872078,0.556037983,1.172872078,0.5678517,NA
1945,1.143225952,0.539301612,1.143225952,0.539301612,1.222556336,0.597816542,1.222556336,0.607455202,NA
1946,1.171204341,0.540396895,1.171204341,0.540396895,1.231534415,0.591407906,1.231534415,0.599985849,NA
1947,1.137064615,0.536993325,1.137064615,0.536993325,1.213518029,0.604357769,1.213518029,0.610039217,NA
1948,1.136085836,0.531188399,1.136085836,0.531188399,1.196652217,0.576905529,1.196652217,0.584579908,NA
1949,1.102095906,0.514712713,1.102095906,0.514712713,1.192052623,0.573176332,1.192052623,0.583476245,NA
1950,1.09305003,0.490079615,1.09305003,0.490079615,1.174634998,0.557960758,1.174634998,0.568162091,NA
1951,1.10562969,0.501990923,1.10562969,0.501990923,1.20086263,0.579781529,1.20086263,0.590097865,NA
1952,1.122331952,0.517996393,1.122331952,0.517996393,1.21217136,0.598424554,1.21217136,0.608375031,NA
1953,1.137045118,0.534246911,1.137045118,0.534246911,1.224003575,0.615529254,1.224003575,0.623951193,NA
1954,1.104069637,0.531218925,1.104069637,0.531218925,1.195388633,0.605835639,1.195388633,0.61771061,NA
1955,1.130005146,0.525850374,1.130005146,0.525850374,1.21211001,0.597443676,1.21211001,0.607755176,NA
1956,1.126580016,0.513340817,1.126580016,0.513340817,1.205078049,0.581701919,1.205078049,0.593648285,NA
1957,1.142995268,0.530340115,1.142995268,0.530340115,1.217763136,0.597677524,1.217763136,0.60731781,NA
1958,1.109525653,0.522477581,1.109525653,0.522477581,1.18214032,0.573823473,1.18214032,0.583981105,NA
1959,1.127541753,0.531819725,1.127541753,0.531819725,1.20310807,0.600179835,1.20310807,0.610142279,NA
1960,1.109632549,0.518048063,1.109632549,0.518048063,1.193624211,0.598649517,1.193624211,0.612017676,NA
1961,1.105170426,0.507780546,1.105170426,0.507780546,1.190271023,0.589825958,1.190271023,0.60093478,NA
1962,1.083204161,0.515659523,1.083204161,0.515659523,1.162941072,0.59350331,1.162941072,0.603780896,NA
1963,1.128763684,0.533432844,1.128763684,0.533432844,1.229206622,0.628167507,1.229206622,0.641292024,NA
1964,1.082036004,0.523075977,1.082036004,0.523075977,1.170331611,0.60146244,1.170331611,0.615647638,NA
1965,1.095540864,0.496762023,1.095540864,0.496762023,1.192191215,0.580528926,1.192191215,0.595415082,NA
1966,1.095209151,0.49579835,1.095209151,0.49579835,1.166532138,0.553020263,1.166532138,0.567141637,NA
1967,1.044553306,0.463765903,1.044553306,0.463765903,1.13212664,0.547684999,1.13212664,0.560476571,NA
1968,1.082220366,0.491622908,1.082220366,0.491622908,1.149306439,0.554252644,1.149306439,0.563440924,NA
1969,1.052620616,0.506009885,1.052620616,0.506009885,1.148993442,0.585148068,1.148993442,0.599667995,NA
1970,1.06655696,0.502806205,1.06655696,0.502806205,1.157269708,0.57839447,1.157269708,0.592609004,NA
1971,1.097378953,0.47893311,1.097378953,0.47893311,1.160631372,0.541794741,1.160631372,0.550498495,NA
1972,1.059172131,0.455848286,1.059172131,0.455848286,1.121158218,0.518710463,1.121158218,0.52815051,NA
1973,1.12488859,0.49505602,1.12488859,0.49505602,1.19317647,0.567290395,1.19317647,0.574636264,NA
1974,1.059933372,0.473038364,1.059933372,0.473038364,1.143057479,0.535089757,1.143057479,0.546201772,NA
1975,1.119117861,0.490445227,1.119117861,0.490445227,1.181792809,0.545116207,1.181792809,0.552705873,NA
1976,1.0905244,0.470217147,1.0905244,0.470217147,1.160917958,0.540575964,1.160917958,0.547539349,NA
1977,1.102058594,0.483174886,1.102058594,0.483174886,1.192875108,0.563813131,1.192875108,0.57119649,NA
1978,1.105002299,0.498099119,1.105002299,0.498099119,1.187292644,0.564584096,1.187292644,0.573494915,NA
1979,1.099974195,0.490737233,1.099974195,0.490737233,1.171986757,0.557383878,1.171986757,0.566819418,NA
1980,1.146451296,0.528119867,1.146451296,0.528119867,1.219318044,0.594025782,1.219318044,0.603081851,NA
1981,1.080719956,0.492374251,1.080719956,0.492374251,1.142208822,0.531789134,1.142208822,0.541508706,NA
1982,1.135090021,0.496812729,1.135090021,0.496812729,1.196868171,0.547938793,1.196868171,0.554999191,NA
1983,1.155670992,0.494569571,1.155670992,0.494569571,1.203246742,0.53794441,1.203246742,0.546385878,NA
1984,1.09668997,0.498126362,1.09668997,0.498126362,1.164634936,0.549837341,1.164634936,0.560111979,NA
1985,1.171728511,0.524670815,1.171728511,0.524670815,1.235842333,0.56803271,1.235842333,0.574332546,NA
1986,1.127533614,0.499583308,1.127533614,0.499583308,1.198926441,0.558558312,1.198926441,0.563235418,NA
1987,1.139635937,0.500956526,1.139635937,0.500956526,1.20660777,0.561321458,1.20660777,0.56933397,NA
1988,1.141675769,0.505997722,1.141675769,0.505997722,1.206262088,0.555865456,1.206262088,0.564414097,NA
1989,1.171608041,0.519413418,1.171608041,0.519413418,1.228510972,0.570699752,1.228510972,0.577480614,NA
1990,1.158610857,0.478648105,1.158610857,0.478648105,1.232467418,0.556754519,1.232467418,0.565598018,1990-2010
1991,1.13767346,0.483765522,1.13767346,0.483765522,1.22218029,0.566765342,1.22218029,0.574011049,1990-2010
1992,1.117958955,0.500158366,1.117958955,0.500158366,1.214354822,0.584246769,1.214354822,0.592970656,1990-2010
1993,1.139123714,0.508115572,1.139123714,0.508115572,1.214447066,0.571338506,1.214447066,0.579372851,1990-2010
1994,1.155986966,0.523285431,1.155986966,0.523285431,1.222988018,0.582920475,1.222988018,0.591075102,1990-2010
1995,1.096745949,0.479680396,1.096745949,0.479680396,1.185701496,0.562265573,1.185701496,0.568457256,1990-2010
1996,1.152142304,0.50201591,1.152142304,0.50201591,1.236406725,0.582899036,1.236406725,0.592501555,1990-2010
1997,1.184919498,0.500924137,1.184919498,0.500924137,1.268730822,0.593860193,1.268730822,0.601119786,1990-2010
1998,1.201738638,0.519425724,1.201738638,0.519425724,1.280848872,0.598318503,1.280848872,0.609682125,1990-2010
1999,1.236878921,0.567201883,1.236878921,0.567201883,1.302102831,0.632601522,1.302102831,0.644707652,1990-2010
2000,1.212970929,0.556922365,1.212970929,0.556922365,1.279046073,0.616184731,1.279046073,0.626380116,1990-2010
2001,1.241915875,0.565057777,1.241915875,0.565057777,1.32753539,0.650614144,1.32753539,0.662257448,1990-2010
2002,1.232294786,0.541863232,1.232294786,0.541863232,1.322091739,0.645499222,1.322091739,0.656223415,1990-2010
2003,1.186977113,0.538429161,1.186977113,0.538429161,1.29863384,0.663743394,1.29863384,0.674565041,1990-2010
2004,1.242238827,0.566273634,1.242238827,0.566273634,1.354803947,0.688141218,1.354803947,0.702094462,1990-2010
2005,1.268979417,0.56614999,1.268979417,0.56614999,1.372173166,0.677889154,1.372173166,0.684928325,1990-2010
2006,1.261514095,0.598160627,1.261514095,0.598160627,1.376961366,0.712969555,1.376961366,0.729622335,1990-2010
2007,1.286754752,0.638682825,1.286754752,0.638682825,1.408720828,0.764228936,1.408720828,0.779489403,1990-2010
2008,1.313767916,0.647776379,1.313767916,0.647776379,1.419474997,0.761888211,1.419474997,0.780005006,1990-2010
2009,1.316011864,0.638718493,1.316011864,0.638718493,1.437978622,0.775420331,1.437978622,0.798218164,1990-2010
2010,1.2840635,0.59816141,1.2840635,0.59816141,1.407028466,0.732394359,1.407028466,0.755127233,1990-2010
2011,1.281190649,0.620911647,1.281190649,0.620911647,1.405652629,0.756386412,1.405652629,0.778943971,NA
2012,1.315129032,0.651805562,1.315129032,0.651805562,1.422873084,0.786342621,1.422873084,0.813039478,NA
2013,1.291600498,0.631276708,1.291600498,0.631276708,1.397455617,0.756392161,1.397455617,0.784160686,NA
2014,1.362957034,0.692372572,1.362957034,0.692372572,1.476051422,0.815377694,1.476051422,0.843096143,NA
2015,1.367437416,0.670659704,1.404730764,0.743158157,1.427422978,0.761362603,1.451773443,0.811316618,NA
2016,1.345631724,0.66194837,1.399015366,0.732078891,1.402958425,0.767526749,1.46588569,0.840980863,NA
2017,1.388777108,0.703669259,1.343433799,0.677363175,1.450106988,0.78241944,1.480480186,0.892144028,NA
2018,1.402792017,0.727526622,1.354888622,0.743833089,1.446452725,0.78532141,1.431421007,0.858616266,NA
2019,1.40826842,0.712509959,1.38524961,0.724512344,1.473579958,0.820212484,1.502829938,0.885180948,NA
2020,1.436060724,0.729489107,1.425170566,0.761388152,1.496822468,0.828080101,1.543315271,0.899474066,NA
2021,1.438322677,0.738498043,1.437950987,0.762105035,1.493885891,0.837263624,1.559455802,0.936327791,NA
2022,1.446911245,0.768650842,1.456579687,0.814241981,1.488205156,0.786509506,1.568646139,0.982666811,NA
2023,1.486520393,0.789520242,1.469536433,0.808713967,1.491143666,0.843870337,1.561530348,0.968254226,NA
2024,1.476368767,0.789643028,1.435196325,0.772651636,1.520530565,0.83241389,1.597353551,0.971549518,NA
2025,1.492682486,0.78963011,1.438553201,0.762425845,1.540017886,0.875124428,1.617977413,1.017359261,NA
2026,1.500000945,0.819306526,1.428092244,0.76950203,1.533331209,0.870278711,1.628078132,1.040234691,NA
2027,1.487206022,0.845743148,1.449095017,0.786162128,1.537050114,0.853101367,1.650690707,1.063514312,NA
2028,1.477922019,0.856687257,1.478003087,0.82888049,1.577022996,0.895174997,1.686125057,1.084444791,NA
2029,1.481919487,0.837354786,1.513353315,0.834237673,1.59202901,0.908072867,1.687890844,1.104588442,NA
2030,1.504729705,0.849862492,1.483003097,0.85272083,1.588753671,0.935508553,1.684882325,1.125764466,NA
2031,1.518102601,0.862620136,1.480605393,0.836405026,1.603185841,0.94449913,1.717663352,1.138850341,NA
2032,1.507913622,0.857362675,1.498113041,0.848330274,1.620370694,0.975496466,1.710431557,1.14260805,NA
2033,1.543951196,0.89399944,1.48997979,0.846732577,1.667719064,1.002592433,1.747390234,1.200794546,NA
2034,1.549233447,0.899690596,1.542838546,0.873107935,1.632252989,1.002376264,1.741776069,1.193390813,NA
2035,1.540544829,0.901196633,1.578237126,0.896822327,1.662371229,1.015861752,1.780216463,1.236933154,NA
2036,1.589158362,0.916733422,1.587008832,0.897890678,1.672972367,1.012786813,1.796632789,1.271718019,NA
