"","Year","Total_Thawed_Nitrogen_Pg"
"135",135,7.01386456761355
"136",136,7.42349936841208
"137",137,7.12175296421665
"138",138,6.96570935928904
"139",139,7.11003302896789
"140",140,7.3397211500911
"141",141,6.60715799161148
"142",142,6.64797718986022
"143",143,7.02599920949863
"144",144,7.20379737161096
"145",145,7.20738870825654
"146",146,6.51524124087957
"147",147,7.20656860170575
"148",148,7.0588731525663
"149",149,7.28474456728022
"150",150,7.98795994511641
"151",151,8.03034454618772
"152",152,8.23499185120195
"153",153,7.81237526748772
"154",154,7.73423161324698
"155",155,8.00920834305507
"156",156,7.97743476333286
"157",157,8.49193831261118
"158",158,9.11908732414831
"159",159,8.88496162123031
"160",160,9.07348706414857
"161",161,8.62570736732494
"162",162,9.02623043191525
"163",163,9.4017365813746
"164",164,8.95511085263043
"165",165,9.7129294482057
"166",166,10.4430248454765
"167",167,10.4485655756399
"168",168,9.95773900570532
"169",169,10.3859354037576
"170",170,10.0974273846259
"171",171,10.5331069915596
"172",172,10.6572623834125
"173",173,11.1133601807391
"174",174,11.049430295211
"175",175,10.8830158345699
"176",176,10.6421677630725
"177",177,10.7652811061366
"178",178,10.8936066385235
"179",179,11.4348434445307
"180",180,11.4486125310786
"181",181,11.3976478025825
"182",182,11.4375056009678
"183",183,11.5209874309306
"184",184,11.6260035978657
"185",185,11.7716483971669
"186",186,11.8082444061253
"187",187,11.9568404160285
"188",188,12.5163132312852
"189",189,12.5641507535563
"190",190,12.2382117338466
"191",191,12.2543329193699
"192",192,12.9197288379717
"193",193,12.6245865375729
"194",194,12.9142297306428
"195",195,13.2292188171242
"196",196,12.9691552724558
"197",197,13.3479817806074
"198",198,13.29827203863
"199",199,13.3095089941614
"200",200,13.7046625919874
"201",201,13.9267032039287
"202",202,13.9056707871291
"203",203,13.580376716897
"204",204,14.1439336836401
"205",205,13.7037778269813
"206",206,13.5476253282597
"207",207,13.7927111168285
"208",208,13.9117454793301
"209",209,14.2537158629012
"210",210,13.9381604896444
"211",211,13.9300280791492
"212",212,14.2376524777923
"213",213,14.4215619033487
"214",214,14.3153625754499
"215",215,14.602109951485
"216",216,14.2580818578538
"217",217,14.4061496166025
"218",218,14.1403161532215
"219",219,13.7795107582347
"220",220,14.1028697474571
"221",221,14.3576075278752
"222",222,14.4148321936028
"223",223,13.9391264805116
"224",224,13.7975710062311
"225",225,13.9953239316972
"226",226,13.8935977079861
"227",227,13.868771475413
"228",228,14.2367186059801
"229",229,13.8789822254079
"230",230,13.9822718058953
"231",231,13.6718674275125
"232",232,13.5114000522614
"233",233,13.6120018627124
"234",234,13.7247343660401
"235",235,13.5049823269756
"236",236,13.6279881757833
"237",237,13.373708572132
"238",238,13.5262119457911
"239",239,13.8900530585303
"240",240,13.596152992824
"241",241,13.5218858599819
"242",242,13.3986734129201
"243",243,13.1409814848118
"244",244,13.1952452241051
"245",245,13.7937614691607
"246",246,13.2458967713364
"247",247,13.1073011008195
"248",248,13.1841750020683
"249",249,13.3811150312453
"250",250,13.201865813105
"251",251,13.0226979361139
