,std_total,std_taiga,std_barren,std_tundra,std_wetlands
lyr64,0.684514806,0.50035778,2.25390048,2.125987012,2.634042557
lyr65,0.647474939,0.472151851,2.546643831,2.230699547,2.547131996
lyr66,0.672885508,0.492720264,2.379409128,2.247636884,2.615483061
lyr67,0.621673154,0.455612689,2.259329175,2.175564919,2.536812145
lyr68,0.581092225,0.423567971,2.144757583,2.281515973,2.649965457
lyr69,0.671269351,0.487612069,3.619493606,2.28039344,3.669580243
lyr70,0.691182163,0.505483745,2.144408553,2.26825541,4.000244067
lyr71,0.637252661,0.467116298,2.139405722,2.303209976,2.489335729
lyr72,0.657939172,0.481138818,2.075292531,2.422683822,2.759158159
lyr73,0.673162236,0.492825185,2.125420683,2.288131639,2.613587142
lyr74,0.731476115,0.533118822,2.791781028,2.773595885,2.626200355
lyr75,0.713025237,0.522499548,2.522474768,2.152849906,3.748758049
lyr76,0.750501727,0.548403344,2.380646137,2.035746844,3.706978331
lyr77,0.677208853,0.490894502,2.291561775,2.311544642,3.621064091
lyr78,0.726151347,0.529514697,2.273560485,2.180896404,3.727852324
lyr79,0.767324469,0.55860617,2.339564835,2.187467268,3.461051311
lyr80,0.73399229,0.533664776,2.374252822,2.204475752,3.542971564
lyr81,0.731580469,0.533185631,2.181611614,2.149445504,3.444407004
lyr82,0.722507064,0.527204649,2.290187022,2.143518567,3.474033672
lyr83,0.745346208,0.542381063,2.524049163,2.097608136,3.474005427
lyr84,0.67931079,0.492561724,2.292075206,2.231912894,3.691718428
lyr85,0.685183963,0.498939713,2.364652034,2.119436361,3.377200305
lyr86,0.666427227,0.485511823,2.388056537,2.080744466,3.561979414
lyr87,0.659608236,0.48081788,2.635499913,2.261305771,3.67478736
lyr88,0.710899722,0.517534854,4.828951525,2.214833926,3.54273909
lyr89,0.717717325,0.520077015,2.310870485,2.233994998,3.476074224
lyr90,0.761204916,0.548985979,2.358902125,2.223315357,3.661511162
lyr91,0.802459961,0.582665434,2.410484617,2.208628672,3.293950162
lyr92,0.716898001,0.518212775,2.333406605,2.218124275,3.710179373
lyr93,0.75153954,0.537798545,2.240729849,2.278055123,3.317752907
lyr94,0.742482162,0.53635724,2.38710333,2.311204741,3.497804438
lyr95,0.720037276,0.519517998,2.16368263,2.261307012,3.579813561
lyr96,0.795569772,0.577977541,2.26067237,2.218118329,3.58518215
lyr97,0.788669429,0.573990376,2.408463437,2.145913874,3.422557866
lyr98,0.738629678,0.539552737,2.988490706,2.155625153,3.558162202
lyr99,0.793004617,0.577801929,2.283250736,2.130307734,3.553503157
lyr100,0.780704452,0.566071225,1.557882232,2.226413495,3.426633843
lyr101,0.714382887,0.516577333,2.219294888,2.248365877,3.354547265
lyr102,0.745403124,0.540054584,2.043578141,2.180604907,3.924020104
lyr103,0.753964315,0.5463125,2.199615557,2.231378644,3.543133795
lyr104,0.775711233,0.564178601,2.305788511,2.231984535,3.428911148
lyr105,0.770236812,0.556324484,2.205002633,2.262570818,3.073329277
lyr106,0.786585598,0.570431757,2.082135289,2.181582206,3.347145575
lyr107,0.79429125,0.573909902,2.152396988,2.251009874,3.347773086
lyr108,0.813896523,0.590887568,2.269494108,2.103458816,3.348184369
lyr109,0.715199787,0.517249177,2.025819738,2.162919286,3.256084506
lyr110,0.7446714,0.539028138,2.194940007,2.18442801,3.554196886
lyr111,0.767731121,0.552697325,2.097047233,2.178442716,3.543405045
lyr112,0.76508527,0.552630608,2.441450817,2.219536673,3.260117945
lyr113,0.731106396,0.528726855,2.210593309,2.224855016,3.487616995
lyr114,0.813115474,0.586679444,2.06979454,2.181523524,3.375604825
lyr115,0.751319592,0.539318339,2.058064943,2.238938675,3.333844168
lyr116,0.753744229,0.54030659,2.262583751,2.288233138,3.346927332
lyr117,0.750967905,0.539765689,2.276663362,2.28393548,3.410373603
lyr118,0.667609397,0.479253467,2.343286437,2.213942931,3.266670875
lyr119,0.697217705,0.505310065,2.359099908,2.224761862,3.374725493
lyr120,0.778048614,0.559687953,2.307574974,2.269715476,3.517242627
lyr121,0.804919057,0.579592951,1.814207526,2.312964349,3.490039931
lyr122,0.68613991,0.497665396,2.321976187,2.274568591,3.695585117
lyr123,0.689658684,0.499385471,2.575748404,2.320769291,3.744837462
lyr124,0.74123956,0.539813668,2.216740145,2.270474095,3.5586719
lyr125,0.665262788,0.479320043,2.323508461,2.281663192,3.564537568
lyr126,0.680404261,0.494655282,2.264035419,2.251144649,3.566579204
lyr127,0.728144131,0.530587528,2.233486413,2.162079918,3.71379793
lyr128,0.763876877,0.556552469,1.877972291,2.265618313,3.490847955
lyr129,0.750386215,0.545061312,2.347943383,2.19345781,3.496512816
lyr130,0.764708204,0.555379978,2.155949675,2.095102224,3.481001925
lyr131,0.772701872,0.560463429,2.260544303,2.071668079,3.265212813
lyr132,0.78683443,0.570912324,2.655422469,2.193056166,3.843775255
lyr133,0.742048395,0.540469953,2.165978849,2.286758217,3.470815469
lyr134,0.717687632,0.521091272,2.422106652,2.257226925,3.289679004
lyr135,0.725055142,0.524812121,2.402733831,2.237430796,3.612949172
lyr136,0.759623234,0.554577549,2.116158753,2.178908241,3.348935377
lyr137,0.758607441,0.555421687,2.102503415,2.204955546,2.624672849
lyr138,0.732650873,0.532287816,2.670582163,2.265191945,3.314819727
lyr139,0.748035157,0.543462439,1.636692524,2.343211337,3.568128032
lyr140,0.748246691,0.545700923,2.58401519,2.198349166,2.553014312
lyr141,0.709058684,0.514546448,2.140281676,2.228698985,2.639538694
lyr142,0.719748333,0.523780271,1.697650018,2.227105881,3.564640639
lyr143,0.763331913,0.55365999,2.485523655,2.1465425,3.565304509
lyr144,0.786886396,0.572829692,2.934330954,2.134629713,3.538809104
lyr145,0.719881146,0.523022646,NA,2.222150306,3.52136729
lyr146,0.710911639,0.517596258,2.454102757,2.183798159,2.555851017
lyr147,0.812321316,0.588267812,2.613139689,2.170350687,2.57641704
lyr148,0.758695173,0.550611329,2.473145427,2.207450768,2.716227943
lyr149,0.797476381,0.576232749,2.57946547,2.163324001,3.319183297
lyr150,0.837987546,0.603400318,2.602788704,2.122841958,3.221998087
lyr151,0.877440034,0.635521397,2.11387673,2.108722733,3.495426856
lyr152,0.90393681,0.654033878,2.429849004,2.13526491,3.588221453
lyr153,0.884286143,0.638701781,2.188576946,2.189093536,2.955855838
lyr154,0.875964845,0.630823282,2.084628489,2.180298347,3.413299371
lyr155,0.903909371,0.644989669,2.217998421,2.255353222,3.323916508
lyr156,0.890931784,0.642401583,2.475492103,2.129399758,2.533200787
lyr157,0.973126227,0.691191781,1.59001786,2.127336384,2.809596162
lyr158,1.028442454,0.731785426,1.39249867,2.138090631,3.722626914
lyr159,1.006061068,0.711708571,1.560064435,2.244219627,3.715862954
lyr160,1.034661509,0.72826555,1.598383673,2.253312565,3.719623069
lyr161,1.025756423,0.722280714,2.005723568,2.279421431,3.58887176
lyr162,1.049892252,0.740805975,1.59383741,2.213184493,3.444048256
lyr163,1.084637795,0.76179746,1.987345964,2.225155676,3.294262425
lyr164,1.06008512,0.738547269,1.945808603,2.268786849,3.156952922
lyr165,1.108611051,0.774856745,1.996541677,2.23215129,3.27518537
lyr166,1.091616965,0.762316767,1.297098329,2.24629447,3.608207816
lyr167,1.146226736,0.792254204,1.703401243,2.27935232,3.454507289
lyr168,1.191973036,0.809258266,1.816988829,2.245227862,3.403699342
lyr169,1.18542639,0.798457721,2.245661542,2.569936236,3.602584178
lyr170,1.206345192,0.829550281,2.072139062,2.252012856,3.349204201
lyr171,1.189192859,0.817821186,1.863045018,2.221423464,3.154126522
lyr172,1.223652884,0.837938366,2.526852858,2.273148256,3.170870526
lyr173,1.240832934,0.845542971,2.316705934,2.257632029,2.870504997
lyr174,1.276833934,0.853535723,1.995847392,2.252410658,4.252485457
lyr175,1.240892658,0.835760322,2.355468886,2.338156684,3.285092143
lyr176,1.271790091,0.852240905,1.961296986,2.291148029,3.382156444
lyr177,1.303489889,0.866612725,1.9609061,2.365861329,3.602719161
lyr178,1.298989936,0.851794849,1.485496952,2.40654744,3.584325814
lyr179,1.324927609,0.87153202,1.582560164,2.529090101,3.626204697
lyr180,1.360939161,0.893036654,2.129011403,2.407791293,3.520868803
lyr181,1.380470434,0.905433248,1.95202866,2.401397411,3.255893002
lyr182,1.39992023,0.916305302,2.077819075,2.373399264,3.62620897
lyr183,1.393892431,0.896999613,1.753165254,2.370370024,3.474634537
lyr184,1.406230714,0.902371083,1.6644938,2.360113956,3.434597835
lyr185,1.450606468,0.923676982,1.766503771,2.318582433,3.604458086
lyr186,1.447194269,0.916437165,2.063843755,2.401196154,3.544254105
lyr187,1.496908611,0.938634896,1.526195549,2.391469306,3.745517206
lyr188,1.493916815,0.934460045,1.99320056,2.448666697,3.512176504
lyr189,1.470940231,0.918599611,1.755137985,2.433326958,3.544195957
lyr190,1.47845565,0.916602322,2.048191315,2.45301526,3.602348593
lyr191,1.550177717,0.958193079,1.787797891,2.395169363,3.661840544
lyr192,1.523587826,0.933347263,1.535841471,2.457140453,3.606925568
lyr193,1.507543322,0.92763994,1.9374436,2.474639078,3.319465656
lyr194,1.523808712,0.920405524,1.668579456,2.511066011,3.469307296
lyr195,1.526422898,0.93662234,1.732273951,2.465899053,3.04664149
lyr196,1.492406118,0.908582847,1.672448518,2.484477227,3.161716168
lyr197,1.561706673,0.929491679,1.762282859,2.398935875,3.509047237
lyr198,1.542964669,0.921490372,1.583105649,2.42226871,2.658486439
lyr199,1.560508773,0.918452674,1.552965048,2.444427055,3.518968234
lyr200,1.532913298,0.899161313,1.621412101,2.456904511,2.855874589
lyr201,1.541649619,0.898507179,1.583285593,2.430716545,2.83918834
lyr202,1.545504278,0.888417368,1.573386202,2.460537163,2.956164247
lyr203,1.565554262,0.882594823,1.671008849,2.402778289,3.565748695
lyr204,1.527625221,0.846870527,1.770183952,2.449148472,3.503899566
lyr205,1.585319004,0.885306398,1.839337552,2.455351876,3.461204288
lyr206,1.485698819,0.832602906,1.704441916,2.396600966,3.848390384
lyr207,1.53192557,0.842863016,1.833856654,2.457709119,3.603019382
lyr208,1.505572729,0.821233105,1.873674982,2.44669595,3.653048385
lyr209,1.458618449,0.801229407,2.390403,2.478078197,2.620141624
lyr210,1.496559224,0.792996664,2.311412043,2.470427806,2.667602403
lyr211,1.487463895,0.78502517,1.576413005,2.414903892,3.518385374
lyr212,1.457242041,0.733350717,2.029585209,2.462248693,2.530840144
lyr213,1.391276638,0.719370174,1.916722053,2.405322327,2.751465911
lyr214,1.348847548,0.701633664,1.852687462,2.368827533,2.637799467
lyr215,1.367845741,0.705995487,1.729318145,2.397708785,2.603869233
lyr216,1.330481961,0.688516648,1.940177959,2.29466817,2.996518049
lyr217,1.345949221,0.674952597,1.665770953,2.444899979,2.733003127
lyr218,1.334256299,0.673184813,1.667767171,2.42559272,2.529881291
lyr219,1.390149917,0.674231293,1.801461414,2.362000634,2.821913501
lyr220,1.317027434,0.639116304,1.888664239,2.337310856,2.633655287
lyr221,1.309660878,0.633806918,1.926731226,2.282940544,2.936585519
lyr222,1.272559958,0.630914638,1.893517446,2.293731895,2.983184335
lyr223,1.258799879,0.604546395,1.726321496,2.316630032,2.934836365
lyr224,1.293913492,0.614473612,1.591865546,2.211540957,2.964718067
lyr225,1.229515535,0.592901465,1.744118119,2.240383769,2.856241701
lyr226,1.220600421,0.579708369,1.596189357,2.307965389,2.465362783
lyr227,1.205483949,0.558635512,1.497618902,2.158993987,2.200393133
lyr228,1.235223431,0.558970991,2.08298525,2.283385746,2.277749401
lyr229,1.144144502,0.536608944,2.008936575,2.333060706,2.421979082
lyr230,1.189161016,0.543934098,1.695624825,2.3012184,2.452892528
lyr231,1.124069249,0.521131673,1.396998352,2.214008843,2.224571844
lyr232,1.118483138,0.513727798,1.585123464,2.181580644,2.178009308
lyr233,1.11285164,0.51632421,1.669624079,2.171236456,3.132008498
lyr234,1.08077713,0.497411101,1.63453106,2.04585955,NA
lyr235,1.036316769,0.487792423,1.714223626,2.24572514,2.983636018
lyr236,0.999675841,0.467041017,1.626948654,2.326228416,2.767218108
lyr237,0.983113968,0.460869903,1.614686889,2.109739328,NA
lyr238,0.988667412,0.461181735,1.587628579,2.060221985,1.302241891
lyr239,0.975635727,0.444975006,1.681421899,2.493310542,3.05297482
lyr240,0.939615111,0.43736731,1.582130123,2.01653832,1.67235237
lyr241,0.915237349,0.423537163,1.548531316,2.233461253,NA
lyr242,0.913964076,0.413755531,1.742807587,2.254570682,NA
lyr243,0.8991274,0.40476077,1.47564692,2.833748204,2.522547129
lyr244,0.919450013,0.392449505,1.719673834,4.14135078,5.395463294
lyr245,0.881734139,0.38183615,1.721644969,2.004911124,NA
lyr246,0.865091535,0.373450559,1.60161238,2.090768239,NA
lyr247,0.859065606,0.366619689,1.678941095,2.054172799,NA
lyr248,0.863506653,0.365425471,1.825578605,2.414643448,NA
lyr249,0.849973803,0.356154867,1.456886713,2.260278947,NA
lyr250,0.853719787,0.352760478,1.829777308,4.635679436,7.178463175
