"","Year","Total_Thawed_Nitrogen_Pg"
"184",184,14.462316124537
"185",185,14.615205281806
"186",186,15.740988366572
"187",187,16.20100457546
"188",188,16.544204681203
"189",189,16.877788019044
"190",190,18.078881681279
"191",191,18.594625703056
"192",192,18.919096795817
"193",193,19.416245348453
"194",194,20.018586270544
"195",195,20.080595203706
"196",196,21.177142989576
"197",197,21.65334781925
"198",198,21.454451117317
"199",199,22.532599065927
"200",200,22.785678512051
"201",201,22.84664219581
"202",202,22.654691840938
"203",203,23.354571163604
"204",204,23.682801414165
"205",205,24.306955555964
"206",206,24.252197281508
"207",207,24.79042403627
"208",208,25.043685735067
"209",209,26.599824078616
"210",210,26.558199878909
"211",211,26.949140531778
"212",212,26.579089535483
"213",213,27.819622656542
"214",214,28.215087355076
"215",215,28.788251663029
"216",216,28.7948254279895
"217",217,29.316600361046
"218",218,30.42711481485
"219",219,30.187262797338
"220",220,30.981540691133
"221",221,31.6663250984745
"222",222,32.129091046773
"223",223,32.828747730287
"224",224,32.7844088887055
"225",225,32.970959477705
"226",226,33.8771067468195
"227",227,34.6746104000515
"228",228,34.604716450692
"229",229,35.047956253561
"230",230,35.4641707681855
"231",231,36.643408156096
"232",232,36.983759194489
"233",233,37.5005332593585
"234",234,37.781443976011
"235",235,38.0893285686495
"236",236,38.102006701552
"237",237,38.687835004216
"238",238,38.882130706846
"239",239,39.158891195957
"240",240,39.163606419266
"241",241,39.5872426141415
"242",242,39.884400080223
"243",243,40.002379345009
"244",244,40.258231708651
"245",245,40.483750053706
"246",246,40.864918650768
"247",247,40.942701443721
"248",248,41.039366134984
"249",249,41.3622761630855
"250",250,41.3776425827325
