,126_1,126_10,245_1,245_10,370_1,370_10,585_1,585_10
1923,0.157977441,1.579774387,0.157977441,1.579774387,0.045209461,0.452094615,0.045209461,0.452094615
1924,-0.00578808,-0.057880809,-0.00578808,-0.057880809,-0.022354615,-0.223546139,-0.022354615,-0.223546139
1925,0.112597742,1.125977399,0.112597742,1.125977399,0.050081019,0.500810189,0.050081019,0.500810189
1926,0.003420749,0.034207508,0.003420749,0.034207508,0.008080261,0.080802602,0.008080261,0.080802602
1927,-0.02920259,-0.292025903,-0.02920259,-0.292025903,0.00550411,0.055041097,0.00550411,0.055041097
1928,0.076622174,0.766221745,0.076622174,0.766221745,0.01611482,0.161148204,0.01611482,0.161148204
1929,0.228438361,2.284383582,0.228438361,2.284383582,0.127479314,1.274793138,0.127479314,1.274793138
1930,0.053814256,0.538142551,0.053814256,0.538142551,0.014677311,0.14677312,0.014677311,0.14677312
1931,0.055835319,0.558353184,0.055835319,0.558353184,0.004831419,0.048314165,0.004831419,0.048314165
1932,0.199132724,1.991327231,0.199132724,1.991327231,0.134310193,1.34310191,0.134310193,1.34310191
1933,0.034001449,0.340014477,0.034001449,0.340014477,0.019559029,0.195590285,0.019559029,0.195590285
1934,0.001793058,0.017930586,0.001793058,0.017930586,0.03427518,0.342751793,0.03427518,0.342751793
1935,-0.086570601,-0.865706013,-0.086570601,-0.865706013,-0.081938679,-0.81938679,-0.081938679,-0.81938679
1936,0.059365787,0.59365788,0.059365787,0.59365788,0.029361105,0.293611049,0.029361105,0.293611049
1937,0.046001948,0.460019486,0.046001948,0.460019486,0.082977029,0.829770288,0.082977029,0.829770288
1938,0.070206446,0.702064463,0.070206446,0.702064463,-0.039940821,-0.399408211,-0.039940821,-0.399408211
1939,0.100811153,1.008111559,0.100811153,1.008111559,0.077292599,0.77292599,0.077292599,0.77292599
1940,0.211251911,2.112519104,0.211251911,2.112519104,0.109579272,1.095792736,0.109579272,1.095792736
1941,0.024737586,0.247375878,0.024737586,0.247375878,-0.057889721,-0.578897205,-0.057889721,-0.578897205
1942,-0.001989059,-0.019890587,-0.001989059,-0.019890587,0.020110075,0.201100746,0.020110075,0.201100746
1943,0.036219917,0.362199172,0.036219917,0.362199172,0.065738791,0.657387911,0.065738791,0.657387911
