Year,SSP126,SSP245,SSP370,SSP585
1981,0.505555231,0.505555231,0.332137294,0.332137294
1982,2.108848658,2.108848658,1.517014204,1.517014204
1983,2.836697489,2.836697489,1.549275268,1.549275268
1984,2.531233464,2.531233464,1.130211472,1.130211472
1985,2.13372488,2.13372488,1.746272158,1.746272158
1986,2.77765113,2.77765113,1.83099686,1.83099686
1987,1.860845521,1.860845521,1.626135502,1.626135502
1988,1.733537453,1.733537453,1.625610325,1.625610325
1989,2.984791199,2.984791199,1.397654577,1.397654577
1990,2.501773396,2.501773396,2.040952499,2.040952499
1991,2.354146254,2.354146254,1.932033277,1.932033277
1992,1.904453816,1.904453816,1.248621813,1.248621813
1993,2.609853729,2.609853729,2.479417889,2.479417889
1994,3.17052101,3.17052101,1.937227555,1.937227555
1995,0.919499604,0.919499604,0.747810761,0.747810761
1996,3.160742751,3.160742751,2.996402172,2.996402172
1997,4.814635209,4.814635209,3.78107018,3.78107018
1998,4.959817256,4.959817256,4.335970787,4.335970787
1999,6.023899774,6.023899774,4.479232141,4.479232141
2000,6.00865965,6.00865965,4.994954589,4.994954589
2001,6.072964172,6.072964172,5.757101085,5.757101085
2002,6.857312084,6.857312084,6.852182199,6.852182199
2003,5.091448284,5.091448284,5.727744176,5.727744176
2004,6.517885015,6.517885015,7.011686194,7.011686194
2005,7.290526908,7.290526908,7.709198759,7.709198759
2006,7.690365736,7.690365736,7.913968767,7.913968767
2007,7.673467656,7.673467656,8.666012451,8.666012451
2008,8.154671955,8.154671955,9.305142999,9.305142999
2009,9.158856481,9.158856481,10.3589582,10.3589582
2010,8.624478766,8.624478766,9.854604039,9.854604039
2011,8.673712747,8.673712747,9.762385826,9.762385826
2012,8.951989256,8.951989256,9.899628622,9.899628622
2013,8.620427235,8.620427235,9.547703806,9.547703806
2014,9.859919511,9.859919511,11.51283958,11.51283958
2015,10.21171002,11.76843522,9.633875658,11.11309949
2016,10.54765805,11.37158988,8.953044568,11.60918887
2017,11.80277523,10.94376565,10.82537191,11.66065896
2018,11.10059072,11.45767583,10.91708189,11.29881204
2019,11.94498284,12.60660979,10.54673082,13.5437153
2020,13.69018327,14.05570456,12.75173508,13.65215101
2021,13.4371114,13.03888798,12.64259863,15.1476512
2022,13.85812871,14.76895599,12.33722479,15.08960952
2023,15.19985492,14.64940004,12.92334243,15.4227904
2024,14.57004754,15.51250616,14.807789,17.13314841
2025,15.09434825,14.89789256,14.6543435,17.21623478
2026,16.0819664,14.22758906,15.84761587,18.46961365
2027,15.90782087,15.137799,15.16339708,18.66308511
2028,15.20107927,15.60320239,17.15442092,20.31792438
2029,15.66732103,17.496243,17.54788833,20.72528794
2030,16.04010299,16.00472604,17.73099521,21.11685974
2031,17.48451581,15.60236272,18.67292002,22.35319735
2032,16.92809275,16.44335493,18.73180131,22.75020307
2033,17.58233293,17.12183001,20.4181523,23.7691709
2034,19.03563978,18.68114512,19.57265925,23.64416142
2035,18.06833086,19.37987195,20.89777963,24.84467815
2036,20.54921684,20.17689568,20.98312332,25.80276273
2037,21.72941537,19.91722018,23.05898804,26.01390542
2038,21.4272995,19.78408761,23.6759557,26.6896892
2039,20.4160453,21.89464806,23.82173631,27.82667131
2040,20.21472948,21.38052425,24.40876245,29.25000621
2041,20.11363035,22.18690109,25.56031059,29.7376877
2042,20.79196948,23.03835714,26.21549012,30.50342543
2043,21.42909107,23.50774969,26.65788176,30.88758102
2044,21.70280469,24.146032,25.28569114,30.93779193
2045,22.74699309,23.8382955,26.48826879,33.48966332
2046,22.2376195,24.6343691,27.25936088,33.11992953
2047,22.57093413,26.24275457,28.00847208,33.91538574
2048,22.61726764,26.16158696,28.94820409,34.5146055
2049,22.18405105,25.99361348,28.83026857,36.25258469
2050,24.13812939,26.33588058,31.20614293,36.29343563
2051,24.09343711,26.40086328,32.54858144,36.65887941
2052,23.24993512,28.24117183,31.70626338,38.25024754
2053,23.99293075,27.58085103,32.87506149,38.51182854
2054,25.06891291,27.58129659,33.61971989,39.50414158
2055,25.77930476,28.7371395,35.7598999,39.92769486
